Table S8: IEI Candidate Genes with Average in T Cells > 1 TPM Filter,CellType,Gene,mean,InItan,Pathway1,Pathway2,BothPathways,,
325,T cell,DUSP22,8.314285714,KNOWN,TRUE,TRUE,TRUE,,
326,T cell,DUSP3,1.9,NEW,TRUE,TRUE,TRUE,,
327,T cell,DUSP5,1.214285714,NEW,TRUE,TRUE,TRUE,,
328,T cell,DUSP6,4.585714286,KNOWN,FALSE,TRUE,FALSE,,
329,T cell,DUSP7,4.985714286,NEW,TRUE,TRUE,TRUE,,
330,T cell,DVL2,7.742857143,KNOWN,FALSE,TRUE,FALSE,,
331,T cell,DYM,19.51428571,NEW,TRUE,FALSE,FALSE,,
332,T cell,DYRK1A,1.114285714,KNOWN,TRUE,FALSE,FALSE,,
333,T cell,DYRK2,2.7,NEW,TRUE,TRUE,TRUE,,
334,T cell,E2F3,1.585714286,KNOWN,TRUE,TRUE,TRUE,,
335,T cell,E2F4,6.857142857,KNOWN,TRUE,TRUE,TRUE,,
336,T cell,EARS2,3.371428571,NEW,TRUE,FALSE,FALSE,,
337,T cell,ECE1,4.485714286,KNOWN,TRUE,FALSE,FALSE,,
338,T cell,ECSIT,26.5,NEW,FALSE,TRUE,FALSE,,
339,T cell,EDEM2,40.68571429,NEW,TRUE,FALSE,FALSE,,
340,T cell,EEF1A1,8929.1,NEW,TRUE,FALSE,FALSE,,
